Lex	Type	Regex	Direction
warfarin	TARGET	(?i)\warf[a-z]+\b	forward
coumadin	TARGET	(?i)\bcoum[a-z]+\b	forward
dabigatran	TARGET	(?i)\bdabi[a-z]+\b|\bdabi\b	forward
pradaxa	TARGET	(?i)\bprad[a-z]+\b	forward
rivaroxaban	TARGET	(?i)\briva[a-z]+\b|\briva\b	forward
xarelto	TARGET	(?i)\bxar[a-z]+\b	forward
eliquis	TARGET	(?i)\beliq[a-z]+\b|\belliq[a-z]+\b	forward
apixaban	TARGET	(?i)\bapix[a-z]+\b|\bapixa\b|\bapix\b	forward
savaysa	TARGET	(?i)\bsavay[a-z+]\b	forward
edoxaban	TARGET	(?i)\bedox[a-z]+\b|\bedoxa\b|\bedox\b	forward
